Cohort,DOI
ACC,10.7908/C1CN7372
BLCA,10.7908/C16T0KXB
BRCA,10.7908/C1NP23RQ
CESC,10.7908/C16D5SCD
CHOL,10.7908/C1S181WN
COAD,10.7908/C1M61JMS
COADREAD,10.7908/C1SJ1JZ8
DLBC,10.7908/C13R0S77
ESCA,10.7908/C1XS5TQM
GBM,10.7908/C1HD7V19
GBMLGG,10.7908/C1K35T1N
HNSC,10.7908/C1V987FP
KICH,10.7908/C1DZ07QR
KIPAN,10.7908/C1CR5SSS
KIRC,10.7908/C1FF3RRP
KIRP,10.7908/C1H41QVC
LAML,10.7908/C16H4GT5
LGG,10.7908/C12J6B7R
LIHC,10.7908/C1474990
LUAD,10.7908/C1348JSB
LUSC,10.7908/C1RJ4HX7
MESO,10.7908/C1DZ07R6
OV,10.7908/C1P84B9Q
PAAD,10.7908/C1BP0271
PCPG,10.7908/C19K49PX
PRAD,10.7908/C14Q7TFZ
READ,10.7908/C1ZS2VZB
SARC,10.7908/C190238F
SKCM,10.7908/C1445KXQ
STAD,10.7908/C1K073R3
STES,10.7908/C1D50MFS
TGCT,10.7908/C1ZS2W06
THCA,10.7908/C1SX6CQR
THYM,10.7908/C1CJ8D00
UCEC,10.7908/C16M36B7
UCS,10.7908/C1W37VTX
UVM,10.7908/C1TX3DWK
